GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB121201A (00540178),3.385,"54.88 (22.18,257.25)","2.41e+52 (1.94e+52,4.51e+52)",39.040 +/-2.929,"1.0350e-06 (9.3058e-07,1.1558e-06)"
GRB121128A (00539866),2.2,"60.65 (50.68,78.50)","9.37e+52 (7.91e+52,1.15e+53)",25.650 +/-5.469,"6.2358e-06 (5.7470e-06,6.9061e-06)"
GRB121027A (00536831),1.77,"57.69 (42.39,81.31)","2.41e+52 (1.91e+52,3.00e+52)",69.300 +/-1.902,"2.2750e-06 (2.0606e-06,2.5834e-06)"
GRB121024A (00536580),2.298,"245.96 (118.82,867.05)","2.45e+52 (1.52e+52,4.59e+52)",12.460 +/-0.386,"1.5443e-06 (1.3942e-06,1.7168e-06)"
GRB120922A (00534394),3.1,"44.93 (29.03,64.48)","1.85e+53 (1.66e+53,2.76e+53)",179.540 +/-6.270,"5.7463e-06 (5.3002e-06,6.3589e-06)"
GRB120909A (00533060),3.93,"149.18 (96.35,518.72)","4.63e+53 (3.69e+53,9.72e+53)",617.700 +/-30.945,"1.6987e-05 (1.5847e-05,1.8292e-05)"
GRB120907A (00532871),0.97,"67.03 (44.04,207.93)","1.91e+51 (1.68e+51,3.66e+51)",6.270 +/-0.278,"9.7590e-07 (8.6063e-07,1.1026e-06)"
GRB120815A (00531003),2.358,"23.46 (2.10,33.59)","9.96e+51 (7.98e+51,3.06e+52)",9.680 +/-1.213,"5.4077e-07 (4.8003e-07,6.0914e-07)"
GRB120811C (00530689),2.671,"46.07 (41.87,50.37)","7.36e+52 (5.74e+52,7.65e+52)",25.200 +/-1.256,"2.8711e-06 (2.7487e-06,3.0146e-06)"
GRB120802A (00529486),3.796,"53.53 (43.81,63.75)","6.55e+52 (5.46e+52,7.89e+52)",50.160 +/-1.523,"1.6566e-06 (1.5366e-06,1.8175e-06)"
GRB120729A (00529095),0.8,"116.18 (80.93,526.51)","6.99e+51 (5.70e+51,1.34e+52)",78.650 +/-6.505,"3.7305e-06 (3.5558e-06,3.9123e-06)"
GRB120724A (00528443),1.48,"21.22 (3.55,30.62)","5.81e+51 (4.49e+51,1.45e+52)",49.170 +/-4.328,"5.2598e-07 (4.6959e-07,5.9318e-07)"
GRB120722A (00528195),0.9586,"49.66 (1.00,99.93)","4.70e+51 (4.34e+51,1.24e+52)",37.310 +/-2.456,"1.8544e-06 (1.6074e-06,2.1430e-06)"
GRB120714B (00526642),0.3984,"70.47 (53.17,124.39)","5.95e+50 (5.08e+50,9.81e+50)",136.290 +/-4.052,"1.1016e-06 (9.8366e-07,1.2682e-06)"
GRB120712A (00526351),4.1745,"110.52 (84.22,185.10)","9.08e+52 (7.66e+52,1.31e+53)",18.460 +/-1.075,"2.2812e-06 (2.0788e-06,2.5504e-06)"
GRB120521C (00522656),6.01,"77.88 (53.29,273.64)","1.09e+53 (9.00e+52,1.93e+53)",33.180 +/-2.379,"1.9992e-06 (1.8602e-06,2.1590e-06)"
GRB120422A (00520658),0.283,"40.66 (2.40,347.08)","9.12e+49 (6.96e+49,2.38e+50)",61.440 +/-13.616,"4.7738e-07 (3.6253e-07,6.2416e-07)"
GRB120404A (00519380),2.876,"60.65 (35.38,227.68)","4.31e+52 (3.49e+52,7.33e+52)",40.500 +/-1.493,"2.2862e-06 (2.1201e-06,2.4774e-06)"
GRB120327A (00518731),2.813,"100.00 (81.74,169.43)","9.69e+52 (8.59e+52,1.35e+53)",71.200 +/-2.329,"4.6741e-06 (4.3241e-06,5.1171e-06)"
GRB120326A (00518626),1.798,"44.93 (38.86,51.55)","3.01e+52 (2.79e+52,3.52e+52)",72.720 +/-3.076,"2.6567e-06 (2.5134e-06,2.8388e-06)"
GRB120119A (00512035),1.728,"138.40 (117.48,177.17)","2.08e+53 (1.87e+53,2.45e+53)",70.400 +/-4.324,"2.3317e-05 (2.2361e-05,2.4376e-05)"
GRB120118B (00512003),2.943,"33.29 (1.55,41.56)","6.24e+52 (5.69e+52,1.41e+53)",30.780 +/-2.853,"2.3493e-06 (2.2187e-06,2.5016e-06)"
GRB111229A (00510736),1.3805,"44.93 (1.62,101.71)","9.04e+50 (7.80e+50,2.41e+51)",2.790 +/-0.246,"1.7948e-07 (1.4947e-07,2.1447e-07)"
GRB111228A (00510649),0.714,"4.98 (1.00,17.20)","3.56e+52 (2.71e+52,4.47e+52)",101.400 +/-1.307,"9.8739e-06 (9.6326e-06,1.0121e-05)"
GRB111225A (00510341),0.297,"77.88 (50.41,328.33)","3.55e+50 (2.99e+50,7.26e+50)",75.600 +/-2.413,"1.8680e-06 (1.7003e-06,2.0611e-06)"
